species;variable;perc_90;position
Artemisia barrelieri;bio09;263.479373025505;end
Artemisia barrelieri;bio10;258.004573447943;start
Artemisia barrelieri;bio10;263.057875069396;end
Artemisia barrelieri;bio11;83.584017738937;start
Artemisia barrelieri;bio11;89.9996655838681;end
Artemisia barrelieri;bio12;257.081187592455;start
Artemisia barrelieri;bio12;279.138045404275;end
Artemisia barrelieri;bio13;42.1439458206038;start
Artemisia barrelieri;bio13;46.1368195472034;end
Artemisia barrelieri;bio14;3.00035900718014;start
Artemisia barrelieri;bio14;3.29644292885858;end
Artemisia barrelieri;bio15;42.0006138404833;start
Artemisia barrelieri;bio15;43.5157851469453;end
Artemisia barrelieri;bio16;89.1579348197336;start
Artemisia barrelieri;bio16;96.3753492792343;end
Artemisia barrelieri;bio16;115.002329111838;start
Artemisia barrelieri;bio16;119.849953793718;end
Artemisia barrelieri;bio17;13.2815493028938;start
Artemisia barrelieri;bio17;15.9980658754897;end
Artemisia barrelieri;bio18;13.3095509047927;start
Artemisia barrelieri;bio18;15.999394658257;end
Artemisia barrelieri;bio19;69.5561519019505;start
Artemisia barrelieri;bio19;74.9948045911924;end
Artemisia campestris;bio01;83.6168844859469;start
Artemisia campestris;bio01;89.9969674887162;end
Artemisia campestris;bio02;69.3616593479404;start
Artemisia campestris;bio02;72.9974563521061;end
Artemisia campestris;bio03;191.745772502288;start
Artemisia campestris;bio03;200.937654709773;end
Artemisia campestris;bio03;295.823934820113;start
Artemisia campestris;bio03;295.997639680727;end
Artemisia campestris;bio04;5985.29437265964;start
Artemisia campestris;bio04;6210.76206050529;end
Artemisia campestris;bio05;231.184849179782;start
Artemisia campestris;bio05;239.991409145933;end
Artemisia campestris;bio06;-14.9970376299354;start
Artemisia campestris;bio06;-5.96405801077555;end
Artemisia campestris;bio07;260.01012372115;start
Artemisia campestris;bio07;269.213827141907;end
Artemisia campestris;bio08;166.010024551152;start
Artemisia campestris;bio08;171.969709139277;end
Artemisia campestris;bio09;-2.81350427711021;start
Artemisia campestris;bio09;9.98655404248137;end
Artemisia campestris;bio10;164.668411813427;start
Artemisia campestris;bio10;168.99605383031;end
Artemisia campestris;bio11;2.31390465679829;start
Artemisia campestris;bio11;9.99056129391562;end
Artemisia campestris;bio12;587.156507086638;start
Artemisia campestris;bio12;619.302910813917;end
Artemisia campestris;bio13;74.0054941923609;start
Artemisia campestris;bio13;77.5344187453357;end
Artemisia campestris;bio14;27.5811808135224;start
Artemisia campestris;bio14;29.9997415856877;end
Artemisia campestris;bio15;29.8260346951374;start
Artemisia campestris;bio15;31.9982584857371;end
Artemisia campestris;bio16;212.260245289156;start
Artemisia campestris;bio16;223.98442282257;end
Artemisia campestris;bio17;85.0044488313988;start
Artemisia campestris;bio17;92.2695447873734;end
Artemisia campestris;bio18;193.481881231016;start
Artemisia campestris;bio18;205.983597439716;end
Artemisia campestris;bio19;97.0103162632613;start
Artemisia campestris;bio19;104.317977703239;end
Artemisia campestris glutinosa;bio01;128.001078597341;start
Artemisia campestris glutinosa;bio01;135.301633031946;end
Artemisia campestris glutinosa;bio02;93.3741695628662;start
Artemisia campestris glutinosa;bio02;94.9995735734731;end
Artemisia campestris glutinosa;bio03;334.003571781275;start
Artemisia campestris glutinosa;bio03;338.114390539545;end
Artemisia campestris glutinosa;bio04;5965.0012539439;start
Artemisia campestris glutinosa;bio04;6077.11285487672;end
Artemisia campestris glutinosa;bio05;283.001436995136;start
Artemisia campestris glutinosa;bio05;288.362949172168;end
Artemisia campestris glutinosa;bio06;9.0004070246479;start
Artemisia campestris glutinosa;bio06;16.8828900508564;end
Artemisia campestris glutinosa;bio07;270.000470951855;start
Artemisia campestris glutinosa;bio07;276.737140127963;end
Artemisia campestris glutinosa;bio08;171.059831692716;start
Artemisia campestris glutinosa;bio08;183.995191709504;end
Artemisia campestris glutinosa;bio09;229.003520994343;start
Artemisia campestris glutinosa;bio09;234.499050350568;end
Artemisia campestris glutinosa;bio10;237.004406169424;start
Artemisia campestris glutinosa;bio10;242.798196840132;end
Artemisia campestris glutinosa;bio11;48.5818235641893;start
Artemisia campestris glutinosa;bio11;54.9975714027563;end
Artemisia campestris glutinosa;bio12;471.133773491008;start
Artemisia campestris glutinosa;bio12;506.992832682442;end
Artemisia campestris glutinosa;bio13;57.9085241586169;start
Artemisia campestris glutinosa;bio13;63.9987985758095;end
Artemisia campestris glutinosa;bio14;4.00039307213937;start
Artemisia campestris glutinosa;bio14;5.36279111022917;end
Artemisia campestris glutinosa;bio15;37.6853055377715;start
Artemisia campestris glutinosa;bio15;39.999755980949;end
Artemisia campestris glutinosa;bio16;169.72575158771;start
Artemisia campestris glutinosa;bio16;185.996953564575;end
Artemisia campestris glutinosa;bio17;15.8472357852383;start
Artemisia campestris glutinosa;bio17;20.8225669511038;end
Artemisia campestris glutinosa;bio18;16.0076420087656;start
Artemisia campestris glutinosa;bio18;20.9957525496274;end
Artemisia campestris glutinosa;bio19;98.0107871489199;start
Artemisia campestris glutinosa;bio19;111.901944059923;end
Asparagus horridus;bio01;173.002157529307;start
Asparagus horridus;bio01;176.438601294191;end
Asparagus horridus;bio02;76.3642625003717;start
Asparagus horridus;bio02;80.9992879415894;end
Asparagus horridus;bio03;329.55327851906;start
Asparagus horridus;bio03;336.997082137703;end
Asparagus horridus;bio04;5580.11190080611;start
Asparagus horridus;bio04;5662.86500645913;end
Asparagus horridus;bio05;301.004712356861;start
Asparagus horridus;bio05;304.562501918632;end
Asparagus horridus;bio06;59.5512277414748;start
Asparagus horridus;bio06;65.9973791135296;end
Asparagus horridus;bio07;238.417919527924;start
Asparagus horridus;bio07;245.999034031512;end
Asparagus horridus;bio08;195.868066563408;start
Asparagus horridus;bio08;201.993425914824;end
Asparagus horridus;bio09;247.005689468258;start
Asparagus horridus;bio09;250.663470050901;end
Asparagus horridus;bio10;256.191057346271;start
Asparagus horridus;bio10;259.998373358883;end
Asparagus horridus;bio11;101.002859025886;start
Asparagus horridus;bio11;106.56812407994;end
Asparagus horridus;bio12;451.024634707068;start
Asparagus horridus;bio12;487.699843467534;end
Asparagus horridus;bio13;75.3199611006667;start
Asparagus horridus;bio13;81.9981037631576;end
Asparagus horridus;bio14;2.92300701444263;start
Asparagus horridus;bio14;2.99864176066761;end
Asparagus horridus;bio15;42.0046075420704;start
Asparagus horridus;bio15;43.2098947721133;end
Asparagus horridus;bio16;198.000283855566;start
Asparagus horridus;bio16;216.431398325526;end
Asparagus horridus;bio17;11.9564938873394;start
Asparagus horridus;bio17;14.999340497254;end
Asparagus horridus;bio18;11.8896825338637;start
Asparagus horridus;bio18;14.9990602703458;end
Asparagus horridus;bio19;97.3735802174142;start
Asparagus horridus;bio19;106.988055118054;end
Berberis hispanica;bio01;93.6844477007511;start
Berberis hispanica;bio01;98.9964644651429;end
Berberis hispanica;bio02;104.160532933434;start
Berberis hispanica;bio02;104.999932419955;end
Berberis hispanica;bio03;346.119316939071;start
Berberis hispanica;bio03;347.997523298931;end
Berberis hispanica;bio04;6435.04209843192;start
Berberis hispanica;bio04;6476.10330596342;end
Berberis hispanica;bio05;263.783940803358;start
Berberis hispanica;bio05;269.99740859403;end
Berberis hispanica;bio06;-31.2773148766161;start
Berberis hispanica;bio06;-27.0023488752184;end
Berberis hispanica;bio07;301.219596226469;start
Berberis hispanica;bio07;302.999282846267;end
Berberis hispanica;bio08;26.0051355935363;start
Berberis hispanica;bio08;32.8885854283326;end
Berberis hispanica;bio09;191.739425244509;start
Berberis hispanica;bio09;197.993132804647;end
Berberis hispanica;bio10;190.457227145597;start
Berberis hispanica;bio10;196.430164618559;end
Berberis hispanica;bio11;12.7091601127248;start
Berberis hispanica;bio11;16.9981625718099;end
Berberis hispanica;bio12;602.558024817627;start
Berberis hispanica;bio12;634.986846842112;end
Berberis hispanica;bio13;73.6189897891577;start
Berberis hispanica;bio13;78.9968521169084;end
Berberis hispanica;bio14;5.00020853554354;start
Berberis hispanica;bio14;5.84322116797107;end
Berberis hispanica;bio15;50.4557115447051;start
Berberis hispanica;bio15;51.9991321913829;end
Berberis hispanica;bio16;243.002381638113;start
Berberis hispanica;bio16;259.905847780527;end
Berberis hispanica;bio17;16.9422753344023;start
Berberis hispanica;bio17;18.9990859447186;end
Berberis hispanica;bio18;17.0006824023799;start
Berberis hispanica;bio18;19.1782124574742;end
Berberis hispanica;bio19;237.008940518185;start
Berberis hispanica;bio19;251.943661086564;end
Bupleurum gibraltaricum;bio01;145.003464890543;start
Bupleurum gibraltaricum;bio01;149.313571482453;end
Bupleurum gibraltaricum;bio02;94.4182712151118;start
Bupleurum gibraltaricum;bio02;96.9988238907802;end
Bupleurum gibraltaricum;bio03;340.000838000131;start
Bupleurum gibraltaricum;bio03;344.444387584931;end
Bupleurum gibraltaricum;bio04;5978.06375431005;start
Bupleurum gibraltaricum;bio04;6078.15219126946;end
Bupleurum gibraltaricum;bio05;289.003161037662;start
Bupleurum gibraltaricum;bio05;294.140364554879;end
Bupleurum gibraltaricum;bio06;10.0033786576589;start
Bupleurum gibraltaricum;bio06;16.1378834951304;end
