community;lat;long;facilitated_species;nurse;n;canopy_percent;gap_percent;site;genus;sp;sub_sp;recruit_sp;dist_bio01;dist_bio02;dist_bio03;dist_bio04;dist_bio05;dist_bio06;dist_bio07;dist_bio08;dist_bio09;dist_bio10;dist_bio11;dist_bio12;dist_bio13;dist_bio14;dist_bio15;dist_bio16;dist_bio17;dist_bio18;dist_bio19;centroid_bio01;centroid_bio02;centroid_bio03;centroid_bio04;centroid_bio05;centroid_bio06;centroid_bio07;centroid_bio08;centroid_bio09;centroid_bio10;centroid_bio11;centroid_bio12;centroid_bio13;centroid_bio14;centroid_bio15;centroid_bio16;centroid_bio17;centroid_bio18;centroid_bio19;population_bio01;population_bio02;population_bio03;population_bio04;population_bio05;population_bio06;population_bio07;population_bio08;population_bio09;population_bio10;population_bio11;population_bio12;population_bio13;population_bio14;population_bio15;population_bio16;population_bio17;population_bio18;population_bio19
17;37.636322;-3.742298;Cistus_albidus;facil;42;56.94;43.06;Barranco de los Ladrones (Sierra de Ja<e9>n);Cistus;albidus;NA;Cistus albidus;-16.137647971845;4.826809090626;-0.251514670950996;906.71967650199;27.330971407879;-29.5029314520605;8.36562231893498;-49.190376138555;3.49079096301301;-5.399277091215;-22.257398620992;-38.637988938843;-8.4000470061319;-0.43918435523389;12.501788888416;-17.182698527798;1.8410811941035;1.7935593016168;84.002465066824;152.137647971845;102.173190909374;341.251514670951;5793.28032349801;281.669028592121;26.5029314520605;303.634377681065;116.190376138555;233.509209036987;242.399277091215;72.257398620992;567.637988938843;83.4000470061319;4.43918435523389;41.498211111584;232.182698527798;14.1589188058965;14.2064406983832;118.997534933176;136;107;341;6700;309;-3;312;67;237;237;50;529;75;4;54;215;16;16;203
17;37.636322;-3.742298;Cistus_salviifolius;facil;0;56.94;43.06;Barranco de los Ladrones (Sierra de Ja<e9>n);Cistus;salviifolius;NA;Cistus salviifolius;-22.883695439688;10.8344391738017;-4.84014182192499;936.62608053248;29.250282118941;-38.052142489297;67.547727693736;-31.5666386217988;-11.025379800338;-13.207841979618;-30.8862988733017;-95.145238194587;-23.5417063923884;-0.15437870951466;1.8869829126712;-67.984652875406;1.879704055457;1.8938456935458;-42.113096988926;158.883695439688;96.1655608261983;345.840141821925;5763.37391946752;279.749717881059;35.052142489297;244.452272306264;98.5666386217988;248.025379800338;250.207841979618;80.8862988733017;624.145238194587;98.5417063923884;4.15437870951466;52.1130170873288;282.984652875406;14.120295944543;14.1061543064542;245.113096988926;136;107;341;6700;309;-3;312;67;237;237;50;529;75;4;54;215;16;16;203
17;37.636322;-3.742298;Crataegus_monogyna;facil;46;56.94;43.06;Barranco de los Ladrones (Sierra de Ja<e9>n);Crataegus;monogyna;NA;Crataegus monogyna;34.539185772676;33.3695817328267;39.811933651952;900.13534843327;80.791731952158;-13.0801621738631;68.023978341083;3.7590251188921;152.836278196522;63.848308025347;9.2045995659687;-236.648661222393;-2.5758919627597;-42.5137394413277;40.1524281273916;-9.92371586828;-130.838078813705;-173.710986903097;33.158059900621;101.460814227324;73.6304182671733;301.188066348048;5799.86465156673;228.208268047842;10.0801621738631;243.976021658917;63.2409748811079;84.1637218034782;173.151691974653;40.7954004340313;765.648661222393;77.5758919627597;46.5137394413277;13.8475718726084;224.92371586828;146.838078813705;189.710986903097;169.841940099379;136;107;341;6700;309;-3;312;67;237;237;50;529;75;4;54;215;16;16;203
17;37.636322;-3.742298;Daphne_gnidium;facil;2;56.94;43.06;Barranco de los Ladrones (Sierra de Ja<e9>n);Daphne;gnidium;NA;Daphne gnidium;-18.144683559947;11.8350381854121;-1.01730752927199;940.3620624561;14.083129868223;-25.8201868998104;8.86826454987897;-25.6130901284814;-4.05442268431301;-9.46798250246999;-20.8434379626601;-71.241372825041;-17.0570707749156;-0.30312724691987;2.9946954930699;-50.006141260383;1.8748969087558;1.8009234028764;-34.362397040476;154.144683559947;95.1649618145879;342.017307529272;5759.6379375439;294.916870131777;22.8201868998104;303.131735450121;92.6130901284814;241.054422684313;246.46798250247;70.8434379626601;600.241372825041;92.0570707749156;4.30312724691987;51.0053045069301;265.006141260383;14.1251030912442;14.1990765971236;237.362397040476;136;107;341;6700;309;-3;312;67;237;237;50;529;75;4;54;215;16;16;203
17;37.636322;-3.742298;Fraxinus_angustifolia;facil;1;56.94;43.06;Barranco de los Ladrones (Sierra de Ja<e9>n);Fraxinus;angustifolia;NA;Fraxinus angustifolia;13.209421728737;26.3537389198952;11.611193710833;974.32475045385;42.308534047048;-23.473086487444;71.23280990767;-19.0815048358384;16.83816707778;27.931114059641;-7.3261815087659;-124.662322179776;-8.5048346317803;-0.44026729396098;37.144065870589;-20.404475124205;1.53978150106;1.5067110156901;10.653037245444;122.790578271263;80.6462610801048;329.388806289167;5725.67524954615;266.691465952952;20.473086487444;240.76719009233;86.0815048358384;220.16183292222;209.068885940359;57.3261815087659;653.662322179776;83.5048346317803;4.44026729396098;16.855934129411;235.404475124205;14.46021849894;14.4932889843099;192.346962754556;136;107;341;6700;309;-3;312;67;237;237;50;529;75;4;54;215;16;16;203
17;37.636322;-3.742298;Genista_cinerea;facil;14;56.94;43.06;Barranco de los Ladrones (Sierra de Ja<e9>n);Genista;cinerea;NA;Genista cinerea;26.744089141649;24.7193710090536;39.897026430842;249.46647406973;58.11813466847;9.164499025559;39.489382418598;-7.863109544766;43.042469873399;36.779131060312;20.5351616271521;-241.217964484863;-21.8877937395349;-0.1243635050979;28.9924739674045;-62.425512667372;-0.612780317465901;-0.646265165082902;-3.42348408231399;109.255910858351;82.2806289909464;301.102973569158;6450.53352593027;250.88186533153;-12.164499025559;272.510617581402;74.863109544766;193.957530126601;200.220868939688;29.4648383728479;770.217964484863;96.8877937395349;4.1243635050979;25.0075260325955;277.425512667372;16.6127803174659;16.6462651650829;206.423484082314;136;107;341;6700;309;-3;312;67;237;237;50;529;75;4;54;215;16;16;203
17;37.636322;-3.742298;Juniperus_oxycedrus;facil;70;56.94;43.06;Barranco de los Ladrones (Sierra de Ja<e9>n);Juniperus;oxycedrus;NA;Juniperus oxycedrus;-0.0589114471839878;11.6474939901409;1.58256858847801;833.62973783583;31.791814807221;-15.0219743374618;43.032079681738;-90.142075604205;12.087871573429;8.11203043426801;-6.0927711226502;18.124626566123;0.458687509586298;-6.83006133723;19.3147868502159;8.50498823048699;-31.9200417788828;-18.8486223007344;94.479271747958;136.058911447184;95.3525060098591;339.417431411522;5866.37026216417;277.208185192779;12.0219743374618;268.967920318262;157.142075604205;224.912128426571;228.887969565732;56.0927711226502;510.875373433877;74.5413124904137;10.83006133723;34.6852131497841;206.495011769513;47.9200417788828;34.8486223007344;108.520728252042;136;107;341;6700;309;-3;312;67;237;237;50;529;75;4;54;215;16;16;203
17;37.636322;-3.742298;Juniperus_phoenicea;facil;0;56.94;43.06;Barranco de los Ladrones (Sierra de Ja<e9>n);Juniperus;phoenicea;NA;Juniperus phoenicea;3.62595280590699;12.170320516191;2.55846316023002;706.86429852445;33.990370488108;-12.5253932346387;40.850972994299;-86.066688333151;10.708238634747;10.815083923562;-3.5127135382803;51.439299661937;13.3899489061192;-8.5852954722146;22.0997833961006;47.149131408934;-45.9830042249298;-41.3028518623668;104.883424427939;132.374047194093;94.829679483809;338.44153683977;5993.13570147555;275.009629511892;9.52539323463871;271.149027005701;153.066688333151;226.291761365253;226.184916076438;53.5127135382803;477.560700338063;61.6100510938808;12.5852954722146;31.9002166038994;167.850868591066;61.9830042249298;57.3028518623668;98.1165755720613;136;107;341;6700;309;-3;312;67;237;237;50;529;75;4;54;215;16;16;203
17;37.636322;-3.742298;Lavandula_latifolia;facil;10;56.94;43.06;Barranco de los Ladrones (Sierra de Ja<e9>n);Lavandula;latifolia;NA;Lavandula latifolia;15.827157390722;11.1152246258866;3.21192736476701;804.74450575777;36.419154278705;-0.73302925093364;43.10802560656;-59.044191006043;20.303287218428;21.08450463983;10.5880756192111;3.9643859908;7.6381981640853;-14.1438555314007;24.079663710165;24.222982643507;-52.0434772393988;-56.368543098888;88.883864598733;120.172842609278;95.8847753741134;337.788072635233;5895.25549424223;272.580845721295;-2.26697074906636;268.89197439344;126.044191006043;216.696712781572;215.91549536017;39.4119243807889;525.0356140092;67.3618018359147;18.1438555314007;29.920336289835;190.777017356493;68.0434772393988;72.368543098888;114.116135401267;136;107;341;6700;309;-3;312;67;237;237;50;529;75;4;54;215;16;16;203
17;37.636322;-3.742298;Olea_europaea;facil;80;56.94;43.06;Barranco de los Ladrones (Sierra de Ja<e9>n);Olea;europaea;NA;Olea europaea;-21.355623365096;31.6519223109504;9.70345244307299;1049.81863429267;26.744969473536;-40.3757643782777;80.562833249068;-50.006567697674;-4.028723472102;-11.81637338933;-29.7780811814939;-100.811448868574;-15.0991309671203;2.77530592603419;14.1350546969992;-40.571118480766;4.2302703014213;4.3153965752957;23.908213697931;157.355623365096;75.3480776890496;331.296547556927;5650.18136570733;282.255030526464;37.3757643782777;231.437166750932;117.006567697674;241.028723472102;248.81637338933;79.7780811814939;629.811448868574;90.0991309671203;1.22469407396581;39.8649453030008;255.571118480766;11.7697296985787;11.6846034247043;179.091786302069;136;107;341;6700;309;-3;312;67;237;237;50;529;75;4;54;215;16;16;203
