community;code;lat;long;facilitated_species;nurse;n;canopy_percent;gap_percent;site;Axis1;Axis2;Axis3;genus;sp;sub_sp;recruit_sp;centroid_pca1;centroid_pca2;mode_pca1;mode_pca2;centroid_dist2d;mode_dist2d
2;SNEV02;37.079667;-3.507389;Rosmarinus_officinalis;open;4;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Rosmarinus;officinalis;NA;Rosmarinus officinalis;1.510475488;2.029982619;1.494887424;2.00235949;1.65421122814217;1.63215623503476
2;SNEV02;37.079667;-3.507389;Quercus_rotundifolia;open;4;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Quercus;rotundifolia;NA;Quercus rotundifolia;2.732264092;1.283547636;2.706683197;1.301862296;2.83738897386575;2.80995907386825
2;SNEV02;37.079667;-3.507389;Polygala_rupestris;open;0;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Polygala;rupestris;NA;Polygala rupestris;1.488244108;0.938489076;1.420100093;0.969254648;1.7093027411803;1.63456158623052
2;SNEV02;37.079667;-3.507389;Helianthemum_cinereum_rotundifolium;open;2;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Helianthemum;cinereum;rotundifolium;Helianthemum cinereum;1.319180043;2.054126393;1.378956043;2.047889901;1.47749977977505;1.53268200650562
2;SNEV02;37.079667;-3.507389;Sideritis_incana;open;0;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Sideritis;incana;NA;Sideritis incana;1.374057875;2.110518641;1.335430271;2.108586801;1.54745552628232;1.510381734897
3;SNEV03;37.077306;-3.481778;Ulex_parviflorus_parviflorus;open;11;34.9;65.1;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;-0.941475862541194;1.83692162050064;-1.28419644582938;Ulex;parviflorus;parviflorus;Ulex parviflorus;1.620235348;1.110794103;1.438859605;1.014676119;2.66263506659927;2.51834957914357
3;SNEV03;37.077306;-3.481778;Thymelaea_tartonraira_austroiberica;open;9;34.9;65.1;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;-0.941475862541194;1.83692162050064;-1.28419644582938;Thymelaea;tartonraira;austroiberica;Thymelaea tartonraira;2.482245343;0.810162785;2.598585869;0.801012014;3.57436716070846;3.68851538914544
3;SNEV03;37.077306;-3.481778;Helianthemum_apenninum_suffruticosum;open;13;34.9;65.1;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;-0.941475862541194;1.83692162050064;-1.28419644582938;Helianthemum;apenninum;suffruticosum;Helianthemum apenninum;-1.513665895;0.524087673;-1.527211599;0.538054939;1.4321083782156;1.42483016857358
3;SNEV03;37.077306;-3.481778;Helianthemum_cinereum_rotundifolium;open;51;34.9;65.1;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;-0.941475862541194;1.83692162050064;-1.28419644582938;Helianthemum;cinereum;rotundifolium;Helianthemum cinereum;1.319180043;2.054126393;1.378956043;2.047889901;2.27106649758539;2.3300025415502
3;SNEV03;37.077306;-3.481778;Alyssum_serpyllifolium_serpyllifolium;open;54;34.9;65.1;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;-0.941475862541194;1.83692162050064;-1.28419644582938;Alyssum;serpyllifolium;serpyllifolium;Alyssum serpyllifolium;1.188608415;1.971749517;1.152143846;1.975412323;2.13434711120348;2.09819521462396
