community;code;lat;long;facilitated_species;nurse;n;canopy_percent;gap_percent;site;genus;sp;sub_sp;recruit_sp;pop_bio01;pop_bio02;pop_bio03;pop_bio04;pop_bio05;pop_bio06;pop_bio07;pop_bio08;pop_bio09;pop_bio10;pop_bio11;pop_bio12;pop_bio13;pop_bio14;pop_bio15;pop_bio16;pop_bio17;pop_bio18;pop_bio19;closest_p95_bio01;dist_bio01;closest_p95_bio02;dist_bio02;closest_p95_bio03;dist_bio03;closest_p95_bio04;dist_bio04;closest_p95_bio05;dist_bio05;closest_p95_bio06;dist_bio06;closest_p95_bio07;dist_bio07;closest_p95_bio08;dist_bio08;closest_p95_bio09;dist_bio09;closest_p95_bio10;dist_bio10;closest_p95_bio11;dist_bio11;closest_p95_bio12;dist_bio12;closest_p95_bio13;dist_bio13;closest_p95_bio14;dist_bio14;closest_p95_bio15;dist_bio15;closest_p95_bio16;dist_bio16;closest_p95_bio17;dist_bio17;closest_p95_bio18;dist_bio18;closest_p95_bio19;dist_bio19
23;PALOM;37.650917;-3.704516;Phlomis_purpurea;facil;6;54.72;45.28;Palomares (Ja<e9>n);Phlomis;purpurea;NA;Phlomis purpurea;130;106;342;6683;303;-9;311;61;231;231;44;703;100;5;52;284;21;21;270;179.953813773317;-49.953813773317;103.821118606892;2.178881393108;349.042703656246;-7.04270365624598;5995.872904263;687.127095737;319.00407698221;-16.00407698221;40.0053775179988;-49.0053775179988;275.289324209836;35.710675790164;105.174539156551;-44.174539156551;253.004273489966;-22.004273489966;253.000228675203;-22.000228675203;90.004791809929;-46.004791809929;605.993661706061;97.0063382939391;100;0;3.00153703074061;1.99846296925939;57.1642098507323;-5.1642098507323;284.006969024067;-0.00696902406701838;13.8397393650891;7.1602606349109;13.8295119385799;7.1704880614201;266.365437137167;3.63456286283298
23;PALOM;37.650917;-3.704516;Pinus_halepensis;facil;32;54.72;45.28;Palomares (Ja<e9>n);Pinus;halepensis;NA;Pinus halepensis;130;106;342;6683;303;-9;311;61;231;231;44;703;100;5;52;284;21;21;270;144.001677486277;-14.001677486277;105.998171796081;0.00182820391900407;341.999947159989;5.28400109942595e-05;5758.28133325519;924.71866674481;280.723940482234;22.276059517766;20.0039784453212;-29.0039784453212;310.545084431091;0.454915568908973;168.656982061757;-107.656982061757;230.035790608087;0.964209391912988;236.000313609716;-5.00031360971599;66.5925059570171;-22.5925059570171;503.356721367916;199.643278632084;80.5937901833179;19.4062098166821;5.00109409809653;-0.00109409809653016;39.427112201859;12.572887798141;225.986725595587;58.013274404413;15.9937565366976;5.0062434633024;15.9997822398411;5.0002177601589;103.999649243935;166.000350756065
23;PALOM;37.650917;-3.704516;Pistacia_terebinthus;facil;25;54.72;45.28;Palomares (Ja<e9>n);Pistacia;terebinthus;NA;Pistacia terebinthus;130;106;342;6683;303;-9;311;61;231;231;44;703;100;5;52;284;21;21;270;143.165695435468;-13.165695435468;95.9975343365925;10.0024656634075;341.751280591277;0.248719408722991;5796.55262838941;886.44737161059;270.157498770368;32.842501229632;20.00078061957;-29.00078061957;245.27381589654;65.72618410346;90.7455376575404;-29.7455376575404;224.635734590055;6.36426540994501;231.309427418725;-0.309427418724994;66.2075326349834;-22.2075326349834;606.385468301002;96.614531698998;86.7049225568917;13.2950774431083;4.99789211507835;0.00210788492165026;36.9992316761254;15.0007683238746;243.99990193153;40.00009806847;17.9166842196694;3.0833157803306;17.9996981880693;3.0003018119307;214.320211088657;55.679788911343
23;PALOM;37.650917;-3.704516;Prunus_spinosa;facil;2;54.72;45.28;Palomares (Ja<e9>n);Prunus;spinosa;NA;Prunus spinosa;130;106;342;6683;303;-9;311;61;231;231;44;703;100;5;52;284;21;21;270;96.9977764798517;33.0022235201483;73.9995087732088;32.0004912267912;294.510939164755;47.489060835245;5923.60672544208;759.39327455792;227.301743576807;75.698256423193;-9;0;253.829294054547;57.170705945453;170.915138258152;-109.915138258152;85.7740570016656;145.225942998334;179.36637155871;51.63362844129;41.2560833701388;2.7439166298612;771.913022967074;-68.913022967074;80.3519266441429;19.6480733558571;45.9143048923627;-40.9143048923627;12.2241226445794;39.7758773554206;236.285979453804;47.714020546196;143.072024191864;-122.072024191864;179.001470883523;-158.001470883523;170.530041751097;99.469958248903
23;PALOM;37.650917;-3.704516;Quercus_coccifera;facil;1;54.72;45.28;Palomares (Ja<e9>n);Quercus;coccifera;NA;Quercus coccifera;130;106;342;6683;303;-9;311;61;231;231;44;703;100;5;52;284;21;21;270;148.80966520232;-18.80966520232;97.1047011692257;8.89529883077429;339.612083758895;2.38791624110502;6046.91463584828;636.08536415172;277.995425138302;25.004574861698;17.8842732120065;-26.8842732120065;271.380495779172;39.619504220828;169.914461016868;-108.914461016868;230.848734034861;0.151265965139004;233.004533311991;-2.004533311991;56.4648351566462;-12.4648351566462;586.077249622546;116.922750377454;80.4848747675054;19.5151252324946;4.99808468627229;0.00191531372770992;36.9989202412186;15.0010797587814;224.98368307604;59.01631692396;15.7659115666118;5.2340884333882;15.8988871658141;5.1011128341859;106.42146552711;163.57853447289
23;PALOM;37.650917;-3.704516;Quercus_faginea;facil;0;54.72;45.28;Palomares (Ja<e9>n);Quercus;faginea;NA;Quercus faginea;130;106;342;6683;303;-9;311;61;231;231;44;703;100;5;52;284;21;21;270;113.999397374626;16.000602625374;95.845131772105;10.154868227895;338.074898959349;3.92510104065099;6049.76214304229;633.23785695771;271.170094188413;31.829905811587;2.00333696841805;-11.0033369684181;310.995956361494;0.00404363850600475;89.0046699480179;-28.0046699480179;204.995129550572;26.004870449428;214.158038716792;16.841961283208;44;0;583.845424410947;119.154575589053;77.5787946163659;22.4212053836341;4.99913207312474;0.000867926875259606;28.9990480220698;23.0009519779302;209.988851063575;74.011148936425;16.9977638481145;4.0022361518855;16.9967195738308;4.0032804261692;143.995045608174;126.004954391826
23;PALOM;37.650917;-3.704516;Quercus_ilex;facil;65;54.72;45.28;Palomares (Ja<e9>n);Quercus;ilex;NA;Quercus ilex;130;106;342;6683;303;-9;311;61;231;231;44;703;100;5;52;284;21;21;270;130;0;78.7205717210198;27.2794282789802;297.047629079693;44.952370920307;5844.1230699788;838.8769300212;271.994211328906;31.005788671094;21.0010481883759;-30.0010481883759;242.995635201288;68.004364798712;87.0017077036562;-26.0017077036562;226.993715770745;4.00628422925499;214.07041319447;16.92958680553;47.7400641587981;-3.7400641587981;749.026009748469;-46.0260097484691;94.4428903874436;5.5571096125564;40.0016781547977;-35.0016781547977;27.875793165225;24.124206834775;276.004676526332;7.99532347366801;126.003567615013;-105.003567615013;147.007221727562;-126.007221727562;206.12395707591;63.87604292409
23;PALOM;37.650917;-3.704516;Rhamnus_lycioides;facil;4;54.72;45.28;Palomares (Ja<e9>n);Rhamnus;lycioides;NA;Rhamnus lycioides;130;106;342;6683;303;-9;311;61;231;231;44;703;100;5;52;284;21;21;270;149.004754392864;-19.004754392864;95.3108004063783;10.6891995936217;338.187609042018;3.81239095798202;5769.96832772596;913.03167227404;298.994227068613;4.00577293138701;21.0013999984341;-30.0013999984341;281.316026063957;29.683973936043;175.003796654333;-114.003796654333;244.710463087022;-13.710463087022;246.000733379015;-15.000733379015;66.3163722330132;-22.3163722330132;454.98725218583;248.01274781417;54.9986638437576;45.0013361562424;3.99992314429159;1.00007685570841;38.9990431256847;13.0009568743153;150.993053030264;133.006946969736;15.3173861511084;5.6826138488916;15.643482204195;5.356517795805;96.9968269147177;173.003173085282
23;PALOM;37.650917;-3.704516;Rosa_canina;facil;24;54.72;45.28;Palomares (Ja<e9>n);Rosa;canina;NA;Rosa canina;130;106;342;6683;303;-9;311;61;231;231;44;703;100;5;52;284;21;21;270;95.999295126982;34.000704873018;73.9980050707088;32.0019949292912;279.13096806433;62.86903193567;5933.14351357151;749.85648642849;226.994337882069;76.005662117931;-8.77189459467687;-0.228105405323131;254.995525110679;56.004474889321;171.002218459805;-110.002218459805;85.3627490254589;145.637250974541;178.995121096519;52.004878903481;9.99997449957613;34.0000255004239;765.813594010016;-62.813594010016;78.9960987569426;21.0039012430574;45.0159705403277;-40.0159705403277;12.9977657341803;39.0022342658197;235.978358186403;48.021641813597;142.773214507535;-121.773214507535;181.008725931923;-160.008725931923;167.460081399588;102.539918600412
23;PALOM;37.650917;-3.704516;Thymus_mastichina;facil;15;54.72;45.28;Palomares (Ja<e9>n);Thymus;mastichina;NA;Thymus mastichina;130;106;342;6683;303;-9;311;61;231;231;44;703;100;5;52;284;21;21;270;130;0;106.82577151543;-0.825771515430006;345.129644248719;-3.12964424871899;6633.46151916198;49.5384808380204;313.003109955531;-10.003109955531;-4.95265534848862;-4.04734465151138;310.837566059904;0.16243394009598;82.0024772381832;-21.0024772381832;256.002293328224;-25.002293328224;256.00348385127;-25.00348385127;48.0010879058535;-4.0010879058535;601.992489635458;101.007510364542;82.4652921126632;17.5347078873368;4.99889297785956;0.00110702214043989;52.3605916976977;-0.3605916976977;234.997808909795;49.002191090205;16.0503330752637;4.9496669247363;16.0798011288736;4.9201988711264;215.994891464845;54.005108535155
